group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,bytes::bytes::shallow_clone_vec > bytes::bytes::promotable_even_clone,40,0.00195,960
Other preparation,"<alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold > alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter",40,0.00195,800
Other preparation,moraine::transaction::commit::attempt_group::{{closure}} > moraine::catalog::handle::Catalog::commit::{{closure}},40,0.00195,10880
Other preparation,<alloc::string::String as core::clone::Clone>::clone > moraine::transaction::commit::attempt_group::{{closure}},40,0.00195,330
Other preparation,"hashbrown::raw::RawTableInner::fallible_with_capacity > hashbrown::raw::RawTable<T,A>::reserve_rehash",40,0.00195,7840
Other preparation,futures_util::stream::stream::buffer_unordered::BufferUnordered<St>::new > <futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll,40,0.00195,30880
Other preparation,futures_util::stream::futures_unordered::FuturesUnordered<Fut>::new > <futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll,40,0.00195,2880
Other preparation,moraine::transaction::commit::diff::diff_options > moraine::transaction::commit::diff::diff_scoped,40,0.00195,640
Other preparation,moraine::transaction::commit::refresh_keys_of > moraine::transaction::commit::changelog_writes,40,0.00195,600
Other preparation,<alloc::raw_vec::RawVecInner>::finish_grow > <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>,40,0.00195,1140
Other preparation,slatedb::batch::WriteBatchIterator::new > slatedb::db_transaction::DbTransaction::get::{{closure}},20,0.00098,640
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}}",20,0.00098,320
Other preparation,slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<T>::new > slatedb::mem_table::KVTable::range,20,0.00098,160
Other preparation,"core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut > <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter",20,0.00098,5760
Other preparation,slatedb::segment_iterator::build_segment_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}},20,0.00098,1280
Other preparation,slatedb::db_iter::GetIterator::new > slatedb::db_iter::DbIterator::new::{{closure}},20,0.00098,320
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::db_iter::GetIterator::new",20,0.00098,960
