group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Other preparation,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},80,0.00391,2560
Other preparation,futures_util::stream::futures_unordered::FuturesUnordered<Fut>::new > <futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll,80,0.00391,77280
Other preparation,futures_util::stream::stream::buffered::Buffered<St>::new > <futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll,80,0.00391,184960
Other preparation,"imbl::ord::map::GenericOrdMap<K,V,P>::diff > moraine::transaction::commit::diff::diff_scoped",80,0.00391,1280
Other preparation,<alloc::string::String as core::clone::Clone>::clone > moraine::transaction::verbs::Transaction::live_table,60,0.00293,1020
Other preparation,"alloc::sync::Arc<T,A>::clone_from_ref_in > <archery::shared_pointer::kind::arc::ArcK as archery::shared_pointer::kind::SharedPointerKind>::make_mut::{{closure}}",60,0.00293,474880
Other preparation,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > moraine::transaction::commit::diff::diff_scoped",60,0.00293,2560
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::db_transaction::DbTransaction::get::{{closure}},40,0.00195,80
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::reader::Reader::get_key_value_with_options::{{closure}},40,0.00195,80
Other preparation,"<alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold > alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter",40,0.00195,800
Other preparation,moraine::transaction::commit::attempt_group::{{closure}} > moraine::catalog::handle::Catalog::commit::{{closure}},40,0.00195,10880
Other preparation,<alloc::string::String as core::clone::Clone>::clone > moraine::transaction::commit::attempt_group::{{closure}},40,0.00195,330
Other preparation,"hashbrown::raw::RawTableInner::fallible_with_capacity > hashbrown::raw::RawTable<T,A>::reserve_rehash",40,0.00195,7840
Other preparation,moraine::transaction::commit::diff::diff_options > moraine::transaction::commit::diff::diff_scoped,40,0.00195,640
Other preparation,moraine::transaction::commit::refresh_keys_of > moraine::transaction::commit::changelog_writes,40,0.00195,600
Other preparation,<alloc::raw_vec::RawVecInner>::finish_grow > <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>,40,0.00195,1140
Other preparation,slatedb::batch::WriteBatchIterator::new > slatedb::db_transaction::DbTransaction::get::{{closure}},20,0.00098,640
